file,path,gender_on_disk,in_resolver,resolver_genders,muscle,location,goal,gender
Abs-advanced-female(1).mp4,/videos/back-muscles/female/Abs-advanced-female(1).mp4,female,True,female,Abs,unknown,build,female
Abs-advanced-female(2).mp4,/videos/back-muscles/female/Abs-advanced-female(2).mp4,female,True,female,Abs,unknown,build,female
Abs-advanced-male(1).mp4,/videos/back-muscles/male/Abs-advanced-male(1).mp4,male,True,male,Abs,unknown,build,male
Abs-advanced-male(2).mp4,/videos/back-muscles/male/Abs-advanced-male(2).mp4,male,True,male,Abs,unknown,build,male
Abs-basic-female(1).mp4,/videos/back-muscles/female/Abs-basic-female(1).mp4,female,True,female,Abs,unknown,general,female
Abs-basic-female(2).mp4,/videos/back-muscles/female/Abs-basic-female(2).mp4,female,True,female,Abs,unknown,general,female
Abs-basic-male(1).mp4,/videos/back-muscles/male/Abs-basic-male(1).mp4,male,True,male,Abs,unknown,general,male
Abs-basic-male(2).mp4,/videos/back-muscles/male/Abs-basic-male(2).mp4,male,True,male,Abs,unknown,general,male
ErectorSpinae_BackExtension_Gym_Build_Female_1.mp4,/videos/back-muscles/female/ErectorSpinae_BackExtension_Gym_Build_Female_1.mp4,female,True,female,ErectorSpinae,gym,build,female
ErectorSpinae_BackExtension_Gym_Build_Female_2.mp4,/videos/back-muscles/female/ErectorSpinae_BackExtension_Gym_Build_Female_2.mp4,female,True,female,ErectorSpinae,gym,build,female
ErectorSpinae_BackExtension_Gym_Build_Male_1.mp4,/videos/back-muscles/male/ErectorSpinae_BackExtension_Gym_Build_Male_1.mp4,male,True,male,ErectorSpinae,gym,build,male
ErectorSpinae_BackExtension_Gym_Build_Male_2.mp4,/videos/back-muscles/male/ErectorSpinae_BackExtension_Gym_Build_Male_2.mp4,male,True,male,ErectorSpinae,gym,build,male
ErectorSpinae_BarbellDeadlift_Gym_General_Female_1.mp4,/videos/back-muscles/female/ErectorSpinae_BarbellDeadlift_Gym_General_Female_1.mp4,female,True,female,ErectorSpinae,gym,general,female
ErectorSpinae_BarbellDeadlift_Gym_General_Female_2.mp4,/videos/back-muscles/female/ErectorSpinae_BarbellDeadlift_Gym_General_Female_2.mp4,female,True,female,ErectorSpinae,gym,general,female
ErectorSpinae_BarbellDeadlift_Gym_General_Male_1.mp4,/videos/back-muscles/male/ErectorSpinae_BarbellDeadlift_Gym_General_Male_1.mp4,male,True,male,ErectorSpinae,gym,general,male
ErectorSpinae_BarbellDeadlift_Gym_General_Male_2.mp4,/videos/back-muscles/male/ErectorSpinae_BarbellDeadlift_Gym_General_Male_2.mp4,male,True,male,ErectorSpinae,gym,general,male
ErectorSpinae_BodyweightGoodMornings_Home_Build_Female_1.mp4,/videos/back-muscles/female/ErectorSpinae_BodyweightGoodMornings_Home_Build_Female_1.mp4,female,True,female,ErectorSpinae,home,build,female
ErectorSpinae_BodyweightGoodMornings_Home_Build_Female_2.mp4,/videos/back-muscles/female/ErectorSpinae_BodyweightGoodMornings_Home_Build_Female_2.mp4,female,True,female,ErectorSpinae,home,build,female
ErectorSpinae_BodyweightGoodMornings_Home_Build_Male_1.mp4,/videos/back-muscles/male/ErectorSpinae_BodyweightGoodMornings_Home_Build_Male_1.mp4,male,True,male,ErectorSpinae,home,build,male
ErectorSpinae_BodyweightGoodMornings_Home_Build_Male_2.mp4,/videos/back-muscles/male/ErectorSpinae_BodyweightGoodMornings_Home_Build_Male_2.mp4,male,True,male,ErectorSpinae,home,build,male
ErectorSpinae_SupermanHold_Home_General_Female_1.mp4,/videos/back-muscles/female/ErectorSpinae_SupermanHold_Home_General_Female_1.mp4,female,True,female,ErectorSpinae,home,general,female
ErectorSpinae_SupermanHold_Home_General_Female_2.mp4,/videos/back-muscles/female/ErectorSpinae_SupermanHold_Home_General_Female_2.mp4,female,True,female,ErectorSpinae,home,general,female
ErectorSpinae_SupermanHold_Home_General_Male_1.mp4,/videos/back-muscles/male/ErectorSpinae_SupermanHold_Home_General_Male_1.mp4,male,True,male,ErectorSpinae,home,general,male
ErectorSpinae_SupermanHold_Home_General_Male_2.mp4,/videos/back-muscles/male/ErectorSpinae_SupermanHold_Home_General_Male_2.mp4,male,True,male,ErectorSpinae,home,general,male
Gastrocnemius_BodyweightCalfRaise_Home_Build_Female_1.mp4,/videos/back-muscles/female/Gastrocnemius_BodyweightCalfRaise_Home_Build_Female_1.mp4,female,True,female,Gastrocnemius,home,build,female
Gastrocnemius_BodyweightCalfRaise_Home_Build_Female_2.mp4,/videos/back-muscles/female/Gastrocnemius_BodyweightCalfRaise_Home_Build_Female_2.mp4,female,True,female,Gastrocnemius,home,build,female
Gastrocnemius_BodyweightCalfRaise_Home_Build_Male_1.mp4,/videos/back-muscles/male/Gastrocnemius_BodyweightCalfRaise_Home_Build_Male_1.mp4,male,True,male,Gastrocnemius,home,build,male
Gastrocnemius_BodyweightCalfRaise_Home_Build_Male_2.mp4,/videos/back-muscles/male/Gastrocnemius_BodyweightCalfRaise_Home_Build_Male_2.mp4,male,True,male,Gastrocnemius,home,build,male
Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Female_1.mp4,/videos/back-muscles/female/Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Female_1.mp4,female,True,female,Gastrocnemius,gym,build,female
Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Female_2.mp4,/videos/back-muscles/female/Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Female_2.mp4,female,True,female,Gastrocnemius,gym,build,female
Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Male_1.mp4,/videos/back-muscles/male/Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Male_1.mp4,male,True,male,Gastrocnemius,gym,build,male
Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Male_2.mp4,/videos/back-muscles/male/Gastrocnemius_SmithMachineCalfRaise_Gym_Build_Male_2.mp4,male,True,male,Gastrocnemius,gym,build,male
GluteusMaximus_BarbellHipThrust_Gym_Build_Female_1.mp4,/videos/back-muscles/female/GluteusMaximus_BarbellHipThrust_Gym_Build_Female_1.mp4,female,True,female,GluteusMaximus,gym,build,female
GluteusMaximus_BarbellHipThrust_Gym_Build_Female_2.mp4,/videos/back-muscles/female/GluteusMaximus_BarbellHipThrust_Gym_Build_Female_2.mp4,female,True,female,GluteusMaximus,gym,build,female
GluteusMaximus_BarbellHipThrust_Gym_Build_Male_1.mp4,/videos/back-muscles/male/GluteusMaximus_BarbellHipThrust_Gym_Build_Male_1.mp4,male,True,male,GluteusMaximus,gym,build,male
GluteusMaximus_BarbellHipThrust_Gym_Build_Male_2.mp4,/videos/back-muscles/male/GluteusMaximus_BarbellHipThrust_Gym_Build_Male_2.mp4,male,True,male,GluteusMaximus,gym,build,male
GluteusMaximus_BarbellSquat_Gym_General_Female_1.mp4,/videos/back-muscles/female/GluteusMaximus_BarbellSquat_Gym_General_Female_1.mp4,female,True,female,GluteusMaximus,gym,general,female
GluteusMaximus_BarbellSquat_Gym_General_Female_2.mp4,/videos/back-muscles/female/GluteusMaximus_BarbellSquat_Gym_General_Female_2.mp4,female,True,female,GluteusMaximus,gym,general,female
GluteusMaximus_BarbellSquat_Gym_General_Male_1.mp4,/videos/back-muscles/male/GluteusMaximus_BarbellSquat_Gym_General_Male_1.mp4,male,True,male,GluteusMaximus,gym,general,male
GluteusMaximus_BarbellSquat_Gym_General_Male_2.mp4,/videos/back-muscles/male/GluteusMaximus_BarbellSquat_Gym_General_Male_2.mp4,male,True,male,GluteusMaximus,gym,general,male
GluteusMaximus_BodyweightWaitersBow_Home_Build_Female_1.mp4,/videos/back-muscles/female/GluteusMaximus_BodyweightWaitersBow_Home_Build_Female_1.mp4,female,True,female,GluteusMaximus,home,build,female
GluteusMaximus_BodyweightWaitersBow_Home_Build_Female_2.mp4,/videos/back-muscles/female/GluteusMaximus_BodyweightWaitersBow_Home_Build_Female_2.mp4,female,True,female,GluteusMaximus,home,build,female
GluteusMaximus_BodyweightWaitersBow_Home_Build_Male_1.mp4,/videos/back-muscles/male/GluteusMaximus_BodyweightWaitersBow_Home_Build_Male_1.mp4,male,True,male,GluteusMaximus,home,build,male
GluteusMaximus_BodyweightWaitersBow_Home_Build_Male_2.mp4,/videos/back-muscles/male/GluteusMaximus_BodyweightWaitersBow_Home_Build_Male_2.mp4,male,True,male,GluteusMaximus,home,build,male
GluteusMaximus_BoxJump_Home_General_Female_1.mp4,/videos/back-muscles/female/GluteusMaximus_BoxJump_Home_General_Female_1.mp4,female,True,female,GluteusMaximus,home,general,female
GluteusMaximus_BoxJump_Home_General_Female_2.mp4,/videos/back-muscles/female/GluteusMaximus_BoxJump_Home_General_Female_2.mp4,female,True,female,GluteusMaximus,home,general,female
GluteusMaximus_BoxJump_Home_General_Male_1.mp4,/videos/back-muscles/male/GluteusMaximus_BoxJump_Home_General_Male_1.mp4,male,True,male,GluteusMaximus,home,general,male
GluteusMaximus_BoxJump_Home_General_Male_2.mp4,/videos/back-muscles/male/GluteusMaximus_BoxJump_Home_General_Male_2.mp4,male,True,male,GluteusMaximus,home,general,male
GluteusMedius_BarbellSquat_Gym_General_Female_1.mp4,/videos/back-muscles/female/GluteusMedius_BarbellSquat_Gym_General_Female_1.mp4,female,True,female,GluteusMedius,gym,general,female
GluteusMedius_BarbellSquat_Gym_General_Female_2.mp4,/videos/back-muscles/female/GluteusMedius_BarbellSquat_Gym_General_Female_2.mp4,female,True,female,GluteusMedius,gym,general,female
GluteusMedius_BarbellSquat_Gym_General_Male_1.mp4,/videos/back-muscles/male/GluteusMedius_BarbellSquat_Gym_General_Male_1.mp4,male,True,male,GluteusMedius,gym,general,male
GluteusMedius_BarbellSquat_Gym_General_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_BarbellSquat_Gym_General_Male_2.mp4,male,True,male,GluteusMedius,gym,general,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_1.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_1.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_2.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_2.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_1.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_1.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_2.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_MachineGluteKickback_Gym_Build_Female_1.mp4,/videos/back-muscles/female/GluteusMedius_MachineGluteKickback_Gym_Build_Female_1.mp4,female,True,female,GluteusMedius,gym,build,female
GluteusMedius_MachineGluteKickback_Gym_Build_Female_2.mp4,/videos/back-muscles/female/GluteusMedius_MachineGluteKickback_Gym_Build_Female_2.mp4,female,True,female,GluteusMedius,gym,build,female
GluteusMedius_MachineGluteKickback_Gym_Build_Male_1.mp4,/videos/back-muscles/male/GluteusMedius_MachineGluteKickback_Gym_Build_Male_1.mp4,male,True,male,GluteusMedius,gym,build,male
GluteusMedius_MachineGluteKickback_Gym_Build_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_MachineGluteKickback_Gym_Build_Male_2.mp4,male,True,male,GluteusMedius,gym,build,male
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_1.mp4,/videos/back-muscles/female/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_1.mp4,female,True,female,GluteusMedius,home,general,female
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_2.mp4,/videos/back-muscles/female/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_2.mp4,female,True,female,GluteusMedius,home,general,female
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_1.mp4,/videos/back-muscles/male/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_1.mp4,male,True,male,GluteusMedius,home,general,male
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_2.mp4,male,True,male,GluteusMedius,home,general,male
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_1.mp4,/videos/back-muscles/female/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_1.mp4,female,True,female,Hamstrings,gym,build,female
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_2.mp4,/videos/back-muscles/female/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_2.mp4,female,True,female,Hamstrings,gym,build,female
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_1.mp4,/videos/back-muscles/male/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_1.mp4,male,True,male,Hamstrings,gym,build,male
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_2.mp4,/videos/back-muscles/male/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_2.mp4,male,True,male,Hamstrings,gym,build,male
Hamstrings_BodyweightWaitersBow_Home_General_Female_1.mp4,/videos/back-muscles/female/Hamstrings_BodyweightWaitersBow_Home_General_Female_1.mp4,female,True,female,Hamstrings,home,general,female
Hamstrings_BodyweightWaitersBow_Home_General_Female_2.mp4,/videos/back-muscles/female/Hamstrings_BodyweightWaitersBow_Home_General_Female_2.mp4,female,True,female,Hamstrings,home,general,female
Hamstrings_BodyweightWaitersBow_Home_General_Male_1.mp4,/videos/back-muscles/male/Hamstrings_BodyweightWaitersBow_Home_General_Male_1.mp4,male,True,male,Hamstrings,home,general,male
